"Trending Date",Country,"Category ID","Comment Count",Title,Likes,"Channel ID",Dislikes,"Publish Date","Video ID",Views
2018-05-09,US,17,183,"Top 5 Plays of the Night | May 06, 2018",3494,10995,92,2018-05-07,ZnvGy6pcGxs,258236
2018-05-10,US,17,185,"Top 5 Plays of the Night | May 06, 2018",3532,10995,99,2018-05-07,ZnvGy6pcGxs,269842
2018-05-11,US,17,184,"Top 5 Plays of the Night | May 06, 2018",3546,10995,100,2018-05-07,ZnvGy6pcGxs,272991
2018-05-12,US,17,184,"Top 5 Plays of the Night | May 06, 2018",3550,10995,102,2018-05-07,ZnvGy6pcGxs,274500
2018-05-13,US,17,185,"Top 5 Plays of the Night | May 06, 2018",3556,10995,103,2018-05-07,ZnvGy6pcGxs,276554
2018-05-16,US,17,187,"Top 5 Plays of the Night | May 06, 2018",3569,10995,105,2018-05-07,ZnvGy6pcGxs,283301
2018-04-26,"Great Britain",23,378,"One-Second Prince Song Quiz with Questlove",4692,14247,52,2018-04-25,ZNsvGhLM42c,237623
2018-04-06,Canada,10,2536,"KILLY - No Sad No Bad (Official Video)",26240,8548,303,2018-04-05,zNqUptqx3bY,237718
2018-04-07,Canada,10,2849,"KILLY - No Sad No Bad (Official Video)",30434,8548,410,2018-04-05,zNqUptqx3bY,329399
2018-05-04,India,27,338,"Accounts Done. How to Approach Law??",5017,11021,60,2018-05-03,zN0r2Yn-UvQ,41662
2018-05-05,India,27,362,"Accounts Done. How to Approach Law??",5148,11021,68,2018-05-03,zN0r2Yn-UvQ,47745
2018-05-23,Canada,22,612,"Joe Rogan - Conor McGregor Has A Bad Attitude?",1272,8003,105,2018-05-22,ZmPpYKwhewQ,165295
2018-05-04,Canada,22,2206,"Summer of Grey: Parts 1 & 3",14735,3472,639,2018-05-03,ZmD9RkCJgDI,296408
2018-05-05,Canada,22,2720,"Summer of Grey: Parts 1 & 3",18555,3472,918,2018-05-03,ZmD9RkCJgDI,425010
2018-05-25,Denmark,24,3317,"REAL MADRID VS LIVERPOOL FUÃŸBALL CHALLENGE!!",7761,3095,150,2018-05-24,ZLuf8cIAUyA,104084
2018-05-26,Denmark,24,4251,"REAL MADRID VS LIVERPOOL FUÃŸBALL CHALLENGE!!",9489,3095,216,2018-05-24,ZLuf8cIAUyA,150158
2018-05-15,Denmark,10,52,"SHIRIN - FUEHL MICH NICE ( 4K )",480,13180,17,2018-05-14,ZKxW5-HFcv4,3821
2018-05-04,Denmark,27,514,"Ein Gang durch Goslar",1397,4415,179,2018-05-03,zkWs4FyokTM,17658
2018-04-16,"Great Britain",24,481,"Cardi B didn't know how big of a deal Coachella is",3470,13291,522,2018-04-10,ZKw1m2yr6Wk,408823
2018-04-17,"Great Britain",24,605,"Cardi B didn't know how big of a deal Coachella is",4769,13291,795,2018-04-10,ZKw1m2yr6Wk,547932
2018-04-18,"Great Britain",24,654,"Cardi B didn't know how big of a deal Coachella is",5066,13291,867,2018-04-10,ZKw1m2yr6Wk,582998
